track,artists,album,album_type,duration,release_year,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Polly,Nirvana,Live At Reading,live album,168,2009,0.45,0.526,0.545,0.0,1,0.333,-12.146,0,0.0332,125.694,4,0.404
Lounge Act,Nirvana,Live At Reading,live album,156,2009,0.0269,0.284,0.983,0.506,1,0.813,-6.209,1,0.0893,143.279,4,0.282
Smells Like Teen Spirit,Nirvana,Live At Reading,live album,285,2009,0.000706,0.41,0.964,0.745,7,1.0,-6.648,1,0.0763,121.868,4,0.274
On A Plain,Nirvana,Live At Reading,live album,180,2009,0.00402,0.366,0.981,0.951,1,0.38,-6.625,1,0.0634,129.616,4,0.348
Negative Creep,Nirvana,Live At Reading,live album,172,2009,0.00172,0.208,0.979,0.826,1,0.396,-6.888,1,0.127,80.554,4,0.118
Been A Son,Nirvana,Live At Reading,live album,133,2009,0.0113,0.293,0.987,0.943,6,0.752,-7.268,1,0.151,145.955,4,0.181
All Apologies,Nirvana,Live At Reading,live album,189,2009,0.0293,0.393,0.857,0.0277,1,0.873,-6.945,1,0.036,112.972,4,0.136
Blew,Nirvana,Live At Reading,live album,199,2009,2.24e-05,0.23,0.949,0.905,1,0.892,-6.848,1,0.0797,128.532,4,0.26
Dumb,Nirvana,Live At Reading,live album,152,2009,0.00482,0.542,0.855,1.79e-06,6,0.612,-8.381,1,0.0289,113.55,4,0.771
Stay Away,Nirvana,Live At Reading,live album,212,2009,0.000592,0.302,0.979,0.862,1,0.826,-6.351,1,0.142,161.868,4,0.161
Spank Thru,Nirvana,Live At Reading,live album,186,2009,0.00351,0.265,0.95,0.63,1,0.544,-7.729,1,0.0591,130.573,4,0.296
The Money Will Roll Right In,Nirvana,Live At Reading,live album,136,2009,0.00227,0.31,0.986,0.744,5,0.872,-7.447,0,0.0672,134.807,4,0.149
D-7,Nirvana,Live At Reading,live album,223,2009,0.00451,0.244,0.979,0.528,8,0.92,-6.516,1,0.114,115.325,4,0.0395
Territorial Pissings,Nirvana,Live At Reading,live album,269,2009,0.00618,0.141,0.957,0.188,1,0.887,-7.17,1,0.0877,94.811,4,0.109
Dive,Nirvana,Incesticide,compilation album,235,1992,2.04e-06,0.425,0.837,0.366,11,0.108,-10.096,1,0.0318,128.13,4,0.441
Sliver,Nirvana,Incesticide,compilation album,136,1992,1.16e-05,0.428,0.684,0.000156,0,0.0744,-10.044,1,0.0475,141.336,4,0.419
Stain,Nirvana,Incesticide,compilation album,160,1992,0.000203,0.546,0.901,2.2e-05,4,0.133,-11.778,0,0.0599,148.341,4,0.532
Been A Son,Nirvana,Incesticide,compilation album,115,1992,2.7e-06,0.387,0.914,0.0,9,0.258,-10.101,1,0.0862,154.455,4,0.556
Turnaround,Nirvana,Incesticide,compilation album,139,1992,0.00035,0.316,0.797,0.161,2,0.0541,-10.984,1,0.0688,175.037,4,0.539
Molly'S Lips,Nirvana,Incesticide,compilation album,114,1992,1.91e-05,0.311,0.895,0.195,7,0.0584,-9.401,1,0.0476,167.107,4,0.681
Son Of A Gun,Nirvana,Incesticide,compilation album,168,1992,7.42e-06,0.33,0.868,0.758,7,0.0744,-9.346,1,0.0303,169.346,4,0.886
(New Wave) Polly,Nirvana,Incesticide,compilation album,107,1992,6.8e-06,0.333,0.926,9.07e-05,0,0.144,-11.385,1,0.185,194.839,4,0.482
Beeswax,Nirvana,Incesticide,compilation album,170,1992,0.00542,0.4,0.824,1.97e-05,1,0.0848,-9.277,0,0.0415,149.195,4,0.758
Downer,Nirvana,Incesticide,compilation album,103,1992,0.00101,0.303,0.931,0.0294,4,0.114,-9.306,0,0.0574,101.936,4,0.555
Mexican Seafood,Nirvana,Incesticide,compilation album,115,1992,0.00434,0.283,0.876,0.0559,1,0.227,-8.001,1,0.0664,170.34,4,0.447
Hairspray Queen,Nirvana,Incesticide,compilation album,253,1992,0.00182,0.473,0.856,0.00936,4,0.0745,-8.258,0,0.0549,143.099,4,0.558
Aero Zeppelin,Nirvana,Incesticide,compilation album,281,1992,0.00111,0.289,0.953,0.27,8,0.0865,-7.795,1,0.0613,116.203,4,0.12
Big Long Now,Nirvana,Incesticide,compilation album,303,1992,0.000857,0.479,0.562,0.61,1,0.111,-12.782,1,0.0266,78.01,4,0.159
Aneurysm,Nirvana,Incesticide,compilation album,275,1992,7.66e-05,0.298,0.823,7.53e-05,7,0.132,-9.793,1,0.0816,135.596,4,0.235
Radio Friendly Unit Shifter,Nirvana,Live And Loud,live album,270,2019,9.19e-06,0.123,0.988,0.199,1,0.874,-6.528,1,0.207,155.963,4,0.0631
Drain You,Nirvana,Live And Loud,live album,222,2019,1.72e-05,0.272,0.958,0.363,8,0.418,-6.677,1,0.082,137.001,4,0.152
Breed,Nirvana,Live And Loud,live album,193,2019,1.78e-06,0.167,0.955,0.441,8,0.883,-6.384,1,0.128,164.252,4,0.149
Serve The Servants,Nirvana,Live And Loud,live album,203,2019,4.52e-06,0.269,0.951,0.672,8,0.782,-6.586,1,0.078,131.047,4,0.208
Rape Me,Nirvana,Live And Loud,live album,159,2019,0.000643,0.255,0.918,0.242,1,0.937,-6.576,1,0.0696,117.297,4,0.333
Sliver,Nirvana,Live And Loud,live album,125,2019,5.37e-05,0.363,0.952,0.0182,11,0.11,-6.69,1,0.0941,149.36,4,0.369
Pennyroyal Tea,Nirvana,Live And Loud,live album,221,2019,0.000112,0.277,0.869,0.215,1,0.694,-7.276,1,0.0764,122.224,4,0.109
Scentless Apprentice,Nirvana,Live And Loud,live album,233,2019,3.05e-06,0.351,0.869,0.874,1,0.308,-7.093,1,0.0631,93.393,4,0.0989
All Apologies,Nirvana,Live And Loud,live album,218,2019,0.00884,0.341,0.695,0.0928,1,0.738,-8.599,1,0.037,114.49,4,0.139
Heart Shaped Box,Nirvana,Live And Loud,live album,269,2019,0.000292,0.371,0.801,0.0394,1,0.346,-7.179,1,0.0376,105.418,4,0.254
Blew,Nirvana,Live And Loud,live album,216,2019,1.16e-05,0.25,0.91,0.766,7,0.527,-7.27,1,0.0827,128.747,4,0.142
The Man Who Sold The World,Nirvana,Live And Loud,live album,274,2019,0.000181,0.24,0.835,0.0129,8,0.837,-7.536,1,0.0414,123.469,4,0.381
School,Nirvana,Live And Loud,live album,160,2019,6.56e-05,0.187,0.911,0.495,8,0.353,-7.514,1,0.0776,166.103,4,0.348
Come As You Are,Nirvana,Live And Loud,live album,221,2019,0.000113,0.412,0.786,0.0622,5,0.818,-8.111,0,0.043,125.421,4,0.29
Lithium,Nirvana,Live And Loud,live album,260,2019,0.000549,0.392,0.755,0.00132,8,0.682,-7.781,1,0.0437,125.363,4,0.321
About A Girl,Nirvana,Live And Loud,live album,168,2019,1.08e-05,0.441,0.864,0.00174,10,0.415,-7.38,0,0.0449,130.842,4,0.294
"Endless, Nameless",Nirvana,Live And Loud,live album,808,2019,7.55e-05,0.219,0.873,0.854,1,0.428,-8.691,1,0.104,153.353,4,0.177
About A Girl,Nirvana,Mtv Unplugged In New York,live album,218,1994,0.14,0.606,0.769,1.64e-05,3,0.841,-9.215,0,0.0713,121.042,4,0.593
Come As You Are,Nirvana,Mtv Unplugged In New York,live album,253,1994,0.554,0.683,0.766,0.00346,5,0.0815,-8.733,0,0.041,119.19,4,0.568
Jesus Doesn'T Want Me For A Sunbeam,Nirvana,Mtv Unplugged In New York,live album,277,1994,0.0638,0.51,0.641,3.65e-06,8,0.272,-10.312,1,0.0812,113.646,4,0.295
The Man Who Sold The World,Nirvana,Mtv Unplugged In New York,live album,261,1994,0.425,0.483,0.753,0.000142,1,0.257,-8.937,0,0.0832,115.102,4,0.42
Pennyroyal Tea,Nirvana,Mtv Unplugged In New York,live album,220,1994,0.306,0.497,0.474,1.82e-06,1,0.105,-8.047,0,0.033,113.022,4,0.0411
Dumb,Nirvana,Mtv Unplugged In New York,live album,172,1994,0.567,0.69,0.542,0.000779,6,0.853,-9.119,1,0.0367,109.449,4,0.673
Polly,Nirvana,Mtv Unplugged In New York,live album,196,1994,0.683,0.618,0.392,7.09e-05,11,0.905,-11.941,1,0.0388,115.075,4,0.437
On A Plain,Nirvana,Mtv Unplugged In New York,live album,224,1994,0.433,0.703,0.795,0.0,1,0.453,-8.632,1,0.0409,117.946,4,0.631
Something In The Way,Nirvana,Mtv Unplugged In New York,live album,241,1994,0.656,0.547,0.335,0.000161,1,0.115,-13.304,1,0.0501,106.099,4,0.109
Plateau,Nirvana,Mtv Unplugged In New York,live album,218,1994,0.49,0.45,0.501,2.51e-05,4,0.552,-12.611,1,0.0712,84.841,4,0.327
Oh Me,Nirvana,Mtv Unplugged In New York,live album,206,1994,0.726,0.538,0.51,0.0187,8,0.205,-13.192,1,0.102,72.471,4,0.262
Lake Of Fire,Nirvana,Mtv Unplugged In New York,live album,175,1994,0.277,0.541,0.618,4.02e-05,1,0.413,-9.652,0,0.179,145.464,4,0.68
All Apologies,Nirvana,Mtv Unplugged In New York,live album,263,1994,0.5,0.569,0.579,2.79e-05,1,0.109,-10.988,1,0.0716,108.998,4,0.407
Where Did You Sleep Last Night,Nirvana,Mtv Unplugged In New York,live album,306,1994,0.667,0.573,0.59,0.000397,3,0.691,-8.43,1,0.0557,108.789,3,0.364
Intro,Nirvana,From The Muddy Banks Of The Wishkah,live album,52,1996,0.429,0.391,0.48,0.0375,2,0.518,-10.866,1,0.113,124.939,4,0.734
School,Nirvana,From The Muddy Banks Of The Wishkah,live album,160,1996,0.00553,0.137,0.98,5.39e-05,4,0.691,-5.924,0,0.0842,170.199,4,0.299
Drain You,Nirvana,From The Muddy Banks Of The Wishkah,live album,214,1996,0.00556,0.412,0.962,0.139,1,0.58,-5.734,1,0.139,135.575,4,0.178
Aneurysm,Nirvana,From The Muddy Banks Of The Wishkah,live album,271,1996,0.00147,0.212,0.972,0.0201,4,0.962,-4.68,0,0.186,137.319,4,0.0704
Smells Like Teen Spirit,Nirvana,From The Muddy Banks Of The Wishkah,live album,287,1996,0.000373,0.399,0.94,0.00243,8,0.684,-6.488,1,0.138,126.261,4,0.354
Been A Son,Nirvana,From The Muddy Banks Of The Wishkah,live album,127,1996,0.000241,0.243,0.971,0.198,4,0.866,-4.199,0,0.0751,148.184,4,0.309
Lithium,Nirvana,From The Muddy Banks Of The Wishkah,live album,250,1996,0.0374,0.39,0.899,0.0,9,0.665,-6.46,1,0.0949,127.456,4,0.214
Sliver,Nirvana,From The Muddy Banks Of The Wishkah,live album,115,1996,0.000969,0.343,0.97,6.13e-05,11,0.687,-5.386,1,0.0959,146.802,4,0.565
Spank Thru,Nirvana,From The Muddy Banks Of The Wishkah,live album,190,1996,0.00268,0.281,0.903,0.000316,2,0.88,-6.615,1,0.0481,129.836,4,0.385
Scentless Apprentice,Nirvana,From The Muddy Banks Of The Wishkah,live album,211,1996,2.96e-06,0.356,0.952,0.494,1,0.67,-6.74,1,0.0887,93.275,4,0.148
Heart-Shaped Box,Nirvana,From The Muddy Banks Of The Wishkah,live album,281,1996,0.241,0.419,0.799,5.84e-06,1,0.136,-7.036,1,0.0452,105.933,4,0.262
Milk It,Nirvana,From The Muddy Banks Of The Wishkah,live album,225,1996,0.00255,0.412,0.856,0.00202,1,0.692,-7.132,1,0.147,144.497,4,0.192
Negative Creep,Nirvana,From The Muddy Banks Of The Wishkah,live album,163,1996,0.00054,0.185,0.988,7.47e-06,2,0.981,-6.426,1,0.201,168.816,4,0.0955
Polly,Nirvana,From The Muddy Banks Of The Wishkah,live album,150,1996,0.0027,0.455,0.981,0.000104,0,0.126,-6.242,1,0.101,145.724,4,0.349
Breed,Nirvana,From The Muddy Banks Of The Wishkah,live album,208,1996,0.000453,0.206,0.946,0.0105,2,0.265,-6.647,1,0.291,154.05,4,0.107
Tourette'S,Nirvana,From The Muddy Banks Of The Wishkah,live album,115,1996,0.000971,0.267,0.966,0.943,1,0.905,-6.005,1,0.129,169.56,4,0.249
Blew,Nirvana,From The Muddy Banks Of The Wishkah,live album,216,1996,0.000368,0.222,0.949,0.00013,7,0.708,-6.75,1,0.168,132.535,4,0.227
Heartbreaker,Nirvana,With The Lights Out,box set,178,2004,0.000784,0.241,0.597,0.836,11,0.414,-8.399,1,0.0456,97.765,4,0.278
Anorexorcist,Nirvana,With The Lights Out,box set,163,2004,0.000337,0.321,0.973,0.744,9,0.173,-1.996,0,0.076,152.033,4,0.426
White Lace And Strange,Nirvana,With The Lights Out,box set,127,2004,0.00252,0.191,0.985,0.288,9,0.327,-2.372,1,0.227,172.851,4,0.543
"Help Me, I'M Hungry",Nirvana,With The Lights Out,box set,160,2004,0.129,0.44,0.919,0.757,9,0.255,-5.811,1,0.0738,108.088,4,0.374
Mrs. Butterworth,Nirvana,With The Lights Out,box set,244,2004,0.00329,0.473,0.79,0.152,9,0.58,-6.666,0,0.0514,86.634,4,0.594
If You Must,Nirvana,With The Lights Out,box set,239,2004,0.0015,0.456,0.864,0.00359,4,0.217,-2.691,1,0.0346,102.626,3,0.442
Pen Cap Chew,Nirvana,With The Lights Out,box set,180,2004,0.0333,0.501,0.815,0.0219,10,0.05,-4.62,0,0.0487,88.657,4,0.234
Downer,Nirvana,With The Lights Out,box set,103,2004,0.48,0.351,0.955,0.0,4,0.837,-5.551,1,0.147,102.786,4,0.638
Floyd The Barber,Nirvana,With The Lights Out,box set,151,2004,0.154,0.232,0.964,0.0199,4,0.109,-4.877,1,0.151,137.491,4,0.198
Raunchola/Moby Dick,Nirvana,With The Lights Out,box set,383,2004,0.00743,0.201,0.973,0.685,6,0.548,-5.402,1,0.356,85.419,4,0.0696
Beans,Nirvana,With The Lights Out,box set,91,2004,0.463,0.592,0.246,0.0,8,0.265,-10.527,0,0.362,145.515,4,0.727
Don'T Want It All,Nirvana,With The Lights Out,box set,143,2004,0.0671,0.596,0.511,0.795,8,0.146,-8.688,0,0.125,143.189,4,0.248
Clean Up Before She Comes,Nirvana,With The Lights Out,box set,190,2004,0.177,0.61,0.388,0.202,3,0.386,-9.286,1,0.0598,122.202,4,0.694
Polly,Nirvana,With The Lights Out,box set,148,2004,0.749,0.445,0.637,1.97e-05,6,0.0766,-5.94,1,0.0466,129.564,4,0.692
About A Girl,Nirvana,With The Lights Out,box set,162,2004,0.641,0.478,0.45,0.858,2,0.0875,-11.5,0,0.0295,115.829,4,0.339
Blandest,Nirvana,With The Lights Out,box set,235,2004,3.42e-05,0.291,0.973,0.0119,10,0.191,-3.325,0,0.102,122.159,4,0.286
Dive,Nirvana,With The Lights Out,box set,288,2004,0.00127,0.298,0.923,0.011,11,0.188,-4.147,1,0.0801,122.302,4,0.179
They Hung Him On A Cross,Nirvana,With The Lights Out,box set,115,2004,0.895,0.333,0.402,0.0,4,0.0955,-6.974,1,0.0317,94.488,4,0.374
Grey Goose,Nirvana,With The Lights Out,box set,275,2004,0.00348,0.31,0.644,0.806,4,0.215,-5.025,1,0.0341,107.677,4,0.228
Ain'T It A Shame,Nirvana,With The Lights Out,box set,121,2004,8.57e-06,0.419,0.973,0.000159,4,0.28,-5.172,1,0.0606,113.399,4,0.592
Token Eastern Song,Nirvana,With The Lights Out,box set,199,2004,0.000219,0.381,0.917,8.55e-06,9,0.121,-4.9,1,0.0741,136.941,4,0.45
Even In His Youth,Nirvana,With The Lights Out,box set,191,2004,4.35e-06,0.308,0.982,5.59e-06,0,0.326,-3.904,1,0.192,143.173,4,0.548
Opinion,Nirvana,With The Lights Out,box set,93,2004,0.826,0.417,0.466,0.0,6,0.211,-9.543,0,0.0398,149.472,4,0.71
Lithium,Nirvana,With The Lights Out,box set,108,2004,0.877,0.566,0.359,0.0,4,0.579,-9.27,1,0.0364,127.763,4,0.517
Been A Son,Nirvana,With The Lights Out,box set,71,2004,0.717,0.44,0.617,0.78,1,0.19,-9.253,0,0.0585,125.857,4,0.704
Sliver,Nirvana,With The Lights Out,box set,128,2004,0.961,0.695,0.374,0.886,8,0.127,-11.599,0,0.0555,128.464,4,0.675
Where Did You Sleep Last Night,Nirvana,With The Lights Out,box set,149,2004,0.961,0.613,0.254,0.875,8,0.115,-11.322,1,0.0315,120.017,3,0.285
Pay To Play,Nirvana,With The Lights Out,box set,208,2004,5.41e-05,0.405,0.962,0.863,9,0.483,-6.073,0,0.106,164.371,4,0.26
Here She Comes Now,Nirvana,With The Lights Out,box set,300,2004,0.0464,0.352,0.703,0.0386,0,0.123,-7.806,0,0.0297,118.829,4,0.149
Drain You,Nirvana,With The Lights Out,box set,157,2004,0.0201,0.294,0.834,0.000584,1,0.54,-4.009,0,0.0381,139.119,4,0.598
Aneurysm,Nirvana,With The Lights Out,box set,287,2004,1.75e-05,0.296,0.764,0.868,11,0.0771,-6.011,0,0.0429,130.524,4,0.316
Smells Like Teen Spirit,Nirvana,With The Lights Out,box set,338,2004,0.151,0.557,0.982,0.000265,8,0.253,-3.521,1,0.0901,117.27,4,0.402
Breed,Nirvana,With The Lights Out,box set,186,2004,5.36e-05,0.235,0.984,0.0,11,0.178,-4.308,1,0.17,158.087,4,0.0939
Verse Chorus Verse,Nirvana,With The Lights Out,box set,196,2004,0.000837,0.453,0.938,0.000171,9,0.453,-4.681,0,0.0478,131.77,4,0.39
Old Age,Nirvana,With The Lights Out,box set,259,2004,0.0291,0.489,0.841,0.00278,4,0.215,-6.814,1,0.0373,127.972,4,0.421
"Endless, Nameless",Nirvana,With The Lights Out,box set,526,2004,0.000324,0.323,0.979,0.865,0,0.111,-5.328,1,0.344,133.127,4,0.177
Dumb,Nirvana,With The Lights Out,box set,153,2004,0.423,0.646,0.701,1.17e-05,7,0.287,-7.447,1,0.0266,110.328,4,0.765
D-7,Nirvana,With The Lights Out,box set,225,2004,0.0349,0.297,0.923,0.739,5,0.0891,-4.939,1,0.0779,86.364,1,0.132
Oh The Guilt,Nirvana,With The Lights Out,box set,204,2004,4.85e-05,0.227,0.898,0.0,1,0.119,-2.493,1,0.0967,132.988,4,0.395
Curmudgeon,Nirvana,With The Lights Out,box set,182,2004,0.000141,0.257,0.883,1.91e-06,10,0.503,-2.557,1,0.072,124.938,4,0.326
Return Of The Rat,Nirvana,With The Lights Out,box set,188,2004,0.000222,0.425,0.945,0.00219,10,0.131,-3.95,0,0.0579,90.245,4,0.732
Rape Me,Nirvana,With The Lights Out,box set,201,2004,0.901,0.583,0.528,0.487,6,0.17,-7.48,0,0.0499,94.904,4,0.398
Scentless Apprentice,Nirvana,With The Lights Out,box set,572,2004,0.000287,0.221,0.892,0.65,6,0.117,-5.974,0,0.0744,153.924,4,0.798
Heart Shaped Box,Nirvana,With The Lights Out,box set,330,2004,0.00634,0.248,0.652,0.0341,1,0.221,-6.045,1,0.0735,203.56,4,0.35
I Hate Myself And Want To Die,Nirvana,With The Lights Out,box set,242,2004,0.0712,0.256,0.924,0.00971,1,0.0929,-3.755,0,0.0689,115.179,4,0.195
Milk It,Nirvana,With The Lights Out,box set,273,2004,0.0196,0.394,0.706,0.00101,1,0.322,-5.238,0,0.172,134.799,4,0.352
Moist Vagina,Nirvana,With The Lights Out,box set,115,2004,0.00893,0.392,0.5,0.0746,10,0.0958,-5.174,1,0.0473,110.023,4,0.444
Gallons Of Rubbing Alcohol Flow Through The Strip,Nirvana,With The Lights Out,box set,452,2004,0.000241,0.472,0.484,0.291,4,0.0626,-7.447,1,0.03,104.237,4,0.351
The Other Improv,Nirvana,With The Lights Out,box set,382,2004,0.237,0.361,0.587,8.71e-05,6,0.346,-4.979,1,0.0575,164.979,4,0.375
Serve The Servants,Nirvana,With The Lights Out,box set,94,2004,0.67,0.535,0.598,0.59,8,0.269,-6.459,1,0.0289,107.364,4,0.519
Very Ape,Nirvana,With The Lights Out,box set,111,2004,0.739,0.577,0.771,0.705,2,0.11,-6.636,1,0.14,133.702,4,0.784
Pennyroyal Tea,Nirvana,With The Lights Out,box set,208,2004,0.927,0.511,0.546,0.523,1,0.116,-7.403,0,0.0349,132.393,4,0.221
Marigold,Nirvana,With The Lights Out,box set,152,2004,0.0337,0.351,0.395,0.00454,10,0.122,-8.745,1,0.0361,176.836,4,0.302
Sappy,Nirvana,With The Lights Out,box set,205,2004,1.04e-05,0.406,0.81,1.34e-06,1,0.325,-6.127,1,0.0343,128.282,4,0.638
Jesus Doesn'T Want Me For A Sunbeam,Nirvana,With The Lights Out,box set,235,2004,0.839,0.49,0.474,0.594,8,0.114,-7.07,1,0.0286,114.906,4,0.324
Do Re Mi,Nirvana,With The Lights Out,box set,262,2004,0.829,0.562,0.75,0.546,7,0.124,-4.459,0,0.0328,122.217,4,0.416
You Know You'Re Right,Nirvana,With The Lights Out,box set,149,2004,0.979,0.412,0.455,0.443,5,0.236,-9.665,0,0.0339,85.02,4,0.656
All Apologies,Nirvana,With The Lights Out,box set,213,2004,0.921,0.562,0.554,0.898,0,0.126,-7.994,1,0.0323,104.249,4,0.558
Heartbreaker,Nirvana,Sliver - The Best Of The Box,compilation album,177,2005,0.000967,0.243,0.591,0.817,11,0.466,-8.412,1,0.0446,97.456,4,0.269
Mrs. Butterworth,Nirvana,Sliver - The Best Of The Box,compilation album,244,2005,0.00355,0.475,0.794,0.196,9,0.656,-6.69,0,0.0534,86.242,4,0.603
Floyd The Barber,Nirvana,Sliver - The Best Of The Box,compilation album,151,2005,0.181,0.231,0.968,0.0156,4,0.129,-4.962,1,0.167,136.919,4,0.184
Clean Up Before She Comes,Nirvana,Sliver - The Best Of The Box,compilation album,190,2005,0.172,0.612,0.394,0.238,3,0.405,-9.264,1,0.058,122.098,4,0.675
